title,content,source_type,source_file,source_url,detail_url
"(24.10월 발생) 택배기사-카드회사-금융감독원-검사를 사칭한 보이스피싱 피해 발생","택배기사-카드회사-금융감독원-검사를 사칭한 보이스피싱
사기 수법
사기범 일당은 각각 택배기사, 카드사 직원, 금융감독원 직원, 검사를 사칭하여 순차적으로 피해자를 기망하여 피해금 편취
1. 사기범1은 택배 기사를 사칭하여 전화로 피해자를 기망
카드가 배송 중인데 집에 있는지, 주소가 맞는지 등을 확인하는 취지로 통화를 시작하여 피해자가 카드 발급 사실이 없다고 하면 카드사 담당자(사기범2) 번호를 알려줌
사기범은 피해자의 생년월일과 이름, 전화번호를 파악하고 있었으며, 주소 확인 시 잘못된 주소를 부르는 경우도 존재(사기범1은 주소만 물어보고 끊는 경우도 있음)
2. 택배 기사를 사칭한 사기범이 알려준 번호로 전화하면 카드사 직원을 사칭하는 사기범이 전화를 받아 명의도용이 의심되니 금융감독원에 신고하도록 안내
3. 사기범3은 금융감독원 직원을 사칭하여 피해자의 정보가 범죄에 연루되었으니 검찰청 검사에게 협조하도록 안내
4. 검찰청 검사를 사칭한 사기범4는 수사를 빌미로 피해자를 협박하거나 자금 송금 유도
고압적인 자세로 피해자를 압박하여 피해자가 사기범3에게 의지하도록 유도하고 사기범3은 피해자를 도와주는 척하며 송금 유도
자산보호, 범죄수익 여부 검사 등을 빌미로 지정하는 계좌에 금액 이체 지시","hwpx_attachment","(24.10월 발생) 택배기사-카드회사-금융감독원-검사를 사칭한 보이스피싱 피해 발생.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=b5664406a7294852ba52eab45bad16bb&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=188169&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(24.7월 발생) 금융회사-금융감독원-검사를 사칭한 보이스피싱","금융회사-금융감독원-검사를 사칭한 보이스피싱
사기 수법
1. 사기범은 카드사 등 금융회사를 사칭하여 피해자의 핸드폰으로 카드 발급 또는 해외결제가 발생했음을 알린 후 본인 아닐 경우 확인토록 요청
2. 금융회사 직원(사기범1)은 사실 확인을 위해 전화한 피해자가 본인의 거래가 아님을 주장할 경우 사고 신고를 위해 금융감독원으로 전화하도록 안내
3. 금감원 직원(사기범2)는 피해자의 정보가 범죄에 연루되었음을 확인해주며 검찰청 검사에게 전화하도록 유도
4. 검찰청 검사(사기범3)은 자산보호를 위해 지정한 계좌로 돈을 송금할 것을 유도하여 피해금 편취","hwpx_attachment","(24.7월 발생) 금융회사-금융감독원-검사를 사칭한 보이스피싱.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=fb76823f6eb243c392a6d38faa6e287a&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=137255&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(24.4월 발생) 민원24 등 정부기관을 사칭한 보이스피싱 피해 발생(음식물쓰레기 무단투기 과태료 사전고지서)","민원24 사칭 음식물쓰레기 무단투기 과태료 사전고지서 등
사기범은 “[민원24] 음식물쓰레기 미분리 신고대상입니다. 민원영상 및 과태료 사전통지서 확인.”의 내용으로 피해자에게 문자 발송
피해자는 해당 내용을 확인하기 위해 불상의 링크를 클릭하였고, 악성앱이 설치되어, 갤러리에 저장 중이었던 신분증 등 개인정보가 유출됨
사기범은 피해자 명의로 휴대전화를 개설하여 약 100만원의 휴대전화 소액결제 및 200만원 가량을 무단이체하여 약 300만원 가량의 금액을 편취","hwpx_attachment","(24.4월 발생) 민원24 등 정부기관을 사칭한 보이스피싱 피해 발생(음식물쓰레기 무단투기 과태료 사전고지서).hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=6719fe8250884b0088243ea0f1f5e6a9&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=135633&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(24.1월 발생) 지인을 사칭한 스미싱 피해 발생(모바일 부고장)","모바일 부고장
피해자는 24년 1월 1일경 지인을 사칭한 사기범으로부터 url이 포함된 부고장 문자 메시지를 수신하여 해당 링크를 클릭
피해자의 휴대폰에는 악성앱이 설치되었고 피해자의 휴대폰에 저장되어 있던 계좌번호, 계좌 비밀번호, otp번호 및 개인정보를 탈취
피해자의 명의로 핸드폰을 개통한 사기범은 피해자의 계좌에서 총 24회에 걸쳐 약 1억 3천만원을 편취","hwpx_attachment","(24.1월 발생) 지인을 사칭한 스미싱 피해 발생(모바일 부고장).hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=3f36c5d6e97b4a50a4b4d5cab135aed9&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=133428&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(24.1월 발생) 정부 대환대출을 사칭한 인터넷 광고","유튜브 대환대출 간편신청 광고
피해자는 유튜브에서 정부 대환대출 광고를 보고 간편신청을 통해 개인정보 및 기존 대출 내역 등 단순 정보를 입력
금융회사 직원을 사칭한 사기범은 정부지원 대출을 가장하여 피해자를 기망후 신규 대출 신청서를 작성하게 유도
기망 과정에서 기존 피해자의 대출 내역을 확인한 사기범 일당은 피해자의
기존 대출이 있는 금융회사 직원을 사칭하여 피해자가 금융거래법 등을 위반
하였다며 피해자를 압박하여 기존 대출 상환을 요구
이에 속은 피해자는 기존 대출을 상환하는 것으로 오인하여 사기범이 지정한 계좌에 피해금액을 송금","hwpx_attachment","(24.1월 발생) 정부 대환대출을 사칭한 인터넷 광고.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=f1338d6362b3460e8032394efae25893&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=133426&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(23.9월 발생) 문자메세지에 의한 공공기관사칭형 사기 피해(교통범칙금)","교통 범칙금 통보 문자 스미싱
사기범은 ’23년 9월 피해자에게 ‘교통범칙금통보’란 제목으로 악성앱이 설치되는 url을 포함한 문자 메시지를 송부
교통범칙금이 통보된 것으로 안 피해자가 내역을 확인하기 위해 url을 클릭하였으나 핸드폰에 악성앱이 설치됨
피해자의 휴대폰 앨범에는 신분증 등 개인정보가 저장되어 있었고 사기범은
피해자의 개인정보를 탈취하여 4차례에 걸쳐 약 3천 5백만원의 금액을 편취","hwpx_attachment","(23.9월 발생) 문자메세지에 의한 공공기관사칭형 사기 피해(교통범칙금).hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=b6ec18173cab40cea4f4f6ab81e7abc0&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=133425&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(기관사칭_방역지원금) '23.6월 식당에 코로나 확진자가 방문하여 지원금을 지급해주겠다는 말에 속아 사기당한 사례","최초접근방법 : 전화
피해자 연령 : 50대
피해자 성별 : 여
사기유형 : 기관사칭(방역지원금)
6.5. 14:30경 피의자는 피해자가 운영하는 식당으로 전화를 걸어 “창녕군 환경위생과 담당인데, 코로나 확진자가 식당에 방문하여 방역이 필요한데, 장사를 못하는 비용으로 군에서 지원금 70만원을 지급해주겠다. 신용카드와 신분증 사진을 카카오톡으로 보내달라”고 하였다.
피해자가 신용카드와 신분증 사진을 보내주자, 피의자는 피해자의 계좌에서 총 1,700만원을 인출하여 재산상이 이익을 취하였음","hwpx_attachment","(기관사칭_방역지원금) '23.6월 식당에 코로나 확진자가 방문하여 지원금을 지급해주겠다는 말에 속아 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=00cce399535044eabc02be99d2e0b5b4&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129864&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(기관사칭) '23.6월 중국공안국 직원을 사칭하여 보석금을 요구하는 전화에 속아 사기당한 사례","최초접근방법 : 전화
피해자 연령 : 20대
피해자 성별 : 남
사기유형 : 기관사칭
피의자는 6.20. 10:00경 중국공안국 상하이 푸동공안국 직원을 사칭하여 피해자에게 국제전화로 전화를 걸어 ‘개인정보 유출 범죄에 연루되어 중국공안국에 출석하여 몇 개월 간 조사를 받아야하며 보석금 100만원을 한국 금융감독원이 지정하는 계좌로 보내면 중국에 소환되지 않을 수 있다고 피해자를 기망하였다.
이에 속은 피해자로부터 같은날 100만원을 계좌이체로 교부받아 편취하였다.","hwpx_attachment","(기관사칭) '23.6월 중국공안국 직원을 사칭하여 보석금을 요구하는 전화에 속아 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=0d7d6815ef364b03878b607c5a76bc3a&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129862&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(기관사칭_병원) '22.8월 병원 관계자를 사칭하여 어머니의 치료비를 입금해야 한다는 말에 속아 사기당한 사례","최초접근방법 : 문자(카카오톡)
피해자 연령 : 30대
피해자 성별 : 남
사기유형 : 기관사칭(병원)
피의자는 OO병원 관계자를 사칭하여 2022.8.10. 12:00경 피해자에게 카카오톡 대화방식으로 ‘OO병원인데 어머니가 쓰러지셔서 응급실에 입원중이다. 병원비가 입금이 안되어 치료를 못하고 있다’라는 취지로 거짓말하였다.
그러나 사실 피의자는 OO병원 직원이 아니었고, 피해자를 기망하여 이에 속은 피해자로부터 2022.8.10. 피해자의 어머니 명의 계좌에서 총 500만원을 이체받아 재산상 이익을 취하였다.","hwpx_attachment","(기관사칭_병원) '22.8월 병원 관계자를 사칭하여 어머니의 치료비를 입금해야 한다는 말에 속아 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=a1159e5fb6f24dddb51e1a702a3d4922&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129861&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(금융회사 사칭) 금융회사를 사칭하여 단기간 고액거래(상품권 구매)를 통해 대출한도를 늘리라는 말에 속아 사기당안 사례","최초접근 방법 : 인터넷 광고
피해자 성별 : n/a
피해자 연령 : n/a
사기 유형 : 기관사칭(금융회사를 사칭하여 소상공인을 인출책으로 이용)
소규모 프랜차이즈 가맹점을 운영하는 피해자는 대출이 필요하여 불법 대출광고 홈페이지의 간편 상담코너에 개인정보를 입력하였고,
이후 사기범이 전화하여 ‘카드거래 실적이 많으면 대출한도가 늘어나니 체크카드를 발급하고 단기간 고액 거래가 가능한 상품권 구매를 하라’고 권유하였음
피해자는 상품권 대금은 사기범이 입금할 것이라는 말에 속아 카드 결제 계좌번호를 사기범에게 알려주었고, 상품권을 구매하여 사기범이 지정한 인물에게 전달하였으나 이후 다른 피해자(사기범이 다른 쪽에서 작업 중이던 보이스피싱 피해자임)의 피해구제 신청으로 계좌가 지급정지되고 전자금융거래가 제한되면서 사업 운영에 어려움을 겪음","hwpx_attachment","(금융회사 사칭) 금융회사를 사칭하여 단기간 고액거래(상품권 구매)를 통해 대출한도를 늘리라는 말에 속아 사기당안 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=ba5be65fdfee48fa95f3dcc285ef8bf6&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129860&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=1"
"(검사사칭) '23.5월 검사를 사칭하여 범죄에 본인 계좌가 연루되었다는 연락에 속아 사기당한 사례","최초접근방법 : 전화
피해자 연령 : 20대
피해자 성별 : 남
사기 유형 : 검사사칭
피의자는 5.24. 12:51경부터 16:00까지 피해자에게 전화를 하여 서울중앙지검 김수진 검사를 사칭한 후 범인이 피해자 명의의 계좌를 사용했는데 범죄에 가담이 되지 않았다는 것을 입증하기 위해서는 피해자 명의의 계좌에서 일정 금액 송금 및 상품권 구매 등이 필요하다고 하여
이에 속은 피해자가 피해자 명의의 계좌에서 130만원을 송금하고 컬쳐랜드상품권과 신세계상품권 200만원 상당을 구입하여 카카오톡을 이용하여 이를 교부하여 피의자는 재산상 이익을 취득","hwpx_attachment","(검사사칭) '23.5월 검사를 사칭하여 범죄에 본인 계좌가 연루되었다는 연락에 속아 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=b35c6f042c42490dae7d3e88a8da3bbd&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129859&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
"(지인사칭_자녀) '23.5월 자녀를 사칭하여 휴대전화 보험신청을 해야한다는 연락에 속아 사기당한 사례","최초접근방법 : 문자
피해자 연령 : 50대
피해자 성별 : 여
사기 유형 : 지인사칭(자녀)
피의자는 5.31. 18시경 주거지에 있는 피해자에게 피해자의 아들을 사칭하면서 문자로 휴대전화가 고장났다고 연락하였고, 이어서 카카오톡 대화로 피해자에게 가족 명의로 휴대폰 보험 신청을 해야한다며 피해자의 신분증 사진, 계좌번호, 비밀번호를 전송받고 이어서 원격제어어플 팀뷰어를 설치하도록 유도하였다.
그러나 사실 피의자는 피해자의 아들이 아니었고 피해자로부터 받은 개인정보 및 금융정보를 이용하여 재물을 취득할 의사였다.
피의자는 권한 없이 타인의 정보를 입력하여 정보처리를 하여 79,370,500원을 송금받아 재산상 이익을 취하였다.","hwpx_attachment","(지인사칭_자녀) '23.5월 자녀를 사칭하여 휴대전화 보험신청을 해야한다는 연락에 속아 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=841743621fbb49318721bd206225aa0d&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129858&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
"(택배사칭) '23.8월 택배배송을 사칭한 문자의 URL을 클릭하였다가 악성앱이 설치되어 사기당한 사례","최초접근방법 : 문자
피해자 연령 : 50대
피해자 성별 : 남
사기 유형 : 메신저피싱
피의자는 피해자에게 7.31. 19:16경 ‘상품을 배송했습니다. 확인부탁합니다’라는 문구와 URL 주소 링크가 적힌 피싱 문자를 보내 피해자가 위 링크를 누르게 하여 피해자의 휴대전화에 악성 어플을 설치한 뒤 피해자의 운전면허증 사진과 공인인증서 등을 이용하여 피해자의 휴대전화번호를 번호이동하고 피해자 명의의 신규 휴대전화를 개통하였음
이어 피의자는 8.1. 11:35경부터 8.4. 14:07경까지 피해자 명의로 199,832,128원의 대출을 받아 피해자 명의의 계좌에서 온라인 결제 또는 제3자 명의의 계좌로 송금하는 방법으로 총 206,150,992원의 재산상 이익을 취득함","hwpx_attachment","(택배사칭) '23.8월 택배배송을 사칭한 문자의 URL을 클릭하였다가 악성앱이 설치되어 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=c548acc57f404409804c143fd9691e28&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129854&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
"(모바일 청첩장) '23.7월 모바일 청첩장 형식의 악성앱 설치를 유도하는 url을 클릭하였다가 사기당한 사례","최초접근방법 : 문자
피해자 연령 : 60대
피해자 성별 : 남
사기 유형 : 메신저피싱
피의자는 7.27. 피해자에게 ‘모바일 청첩장’ 형식의 악성앱 설치를 유도하는 URL을 전송하여 피해자가 해당 URL을 통해 악성앱을 설치하자,
해당 악성앱을 이용하여 7.27. 피해자 명의로 대출을 받는 등 부정한 명령을 입력하고 권한 없이 정보를 입력·변경하여 정보처리를 하게 함으로써 여러 차례 입출금 등을 이용하여 8,500만원 상당의 재산상의 이익을 취득하였다.","hwpx_attachment","(모바일 청첩장) '23.7월 모바일 청첩장 형식의 악성앱 설치를 유도하는 url을 클릭하였다가 사기당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=2c74c6d5e27c492184c462a387632451&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129852&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
"(정부지원 저금리 대출) '23.5월 정부지원 저금리 대출이 가능하다고 하여 대출 신청 후 기존 대출금을 상환해야한다는 말에 속아 대출금을 갈취당한 사례","최초접근방법 : 전화
피해자 연령 : 50대
피해자 성별 : 남
사기 유형 : 정부 지원 저금리 대출, 대환대출
피진정인은 5.16. 10:35 경 1811-8551 번호로 피해자에게 전화를 하여 “OO은행 김민정 대리입니다. 정부지원 저금리 대출이 가능합니다. 고정금리 5.8%에 최대 5,800만원까지 대출이 가능합니다. 카카오톡으로 보내주는 어플을 설치하여 대출신청서를 작성하면 신청이 완료됩니다”라고 말하며 피해자에게 카카오톡으로 APK파일을 전송하였다.
피해자는 위 어플을 설치하고 대출신청서를 작성하였고, 피진정인은 다시 한 번 OO저축은행 직원을 사칭하여 전화를 해서 “우리 OO은행에 대출이 있는데 신규대출을 진행하면 금융업법 위반이다. 지급정지를 걸었으니 이를 풀고 싶으면 우리에게 대출금을 상환하라”고 말하였다.
피진정인은 위와 같은 방법으로 피해자를 기망하여 피해자로부터 기존 대출금 상황 명목으로 3,000만원을 갈취하였다.","hwpx_attachment","(정부지원 저금리 대출) '23.5월 정부지원 저금리 대출이 가능하다고 하여 대출 신청 후 기존 대출금을 상환해야한다는 말에 속아 대출금을 갈취당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=ac4d2fae4a67476191d0dd4be129a816&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129850&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
"(공공기관 사칭) '23.8월 서민금융진흥원을 사칭하여 저금리 대환대출을 해주겠다고 하는 것에 속아 기존 대출금을 갈취당한 사례","최초접근방법 : 전화
피해자 연령 : 40대
피해자 성별 : 남
사기 유형 : 기관사칭형(대환대출)
성명불상 피의자는 7.20. 피해자에게 전화로 서민금융진흥원 직원을 사칭하며 저금리로 대환대출을 해주겠다고 속여 대출을 진행하게 한 후
재차 기존 대출은행인 OO저축은행 직원을 사칭하며 기존 대출금이 있는 상태에서 대환대출을 계약 위반으로 기존 대출금을 상환해야 대출이 가능하다고 속였다.
피의자는 이와 같이 피해자를 속여 이에 속은 피해자로부터 7.21.부터 총 5회에 걸쳐 피해자 명의 계좌에서 1,100만원을 교부받았다.","hwpx_attachment","(공공기관 사칭) '23.8월 서민금융진흥원을 사칭하여 저금리 대환대출을 해주겠다고 하는 것에 속아 기존 대출금을 갈취당한 사례.hwpx","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=53df915a32ac4994bf3505a182d20ce2&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=129847&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
"(21.4월 발생) 인터넷 카페에 의한 대출빙자형 남성_","
최초 접근방법
피해자 연령
피해자 성별
사기 유형
인터넷 카페
남성
대출빙자형
2021.4월 어느 날 저금리 대출 관련해서 보이스피싱을 당했습니다.
카페에서 저금리로 대출을 해준다는 글을 보고 연락을 했는데 텔레그램으로 연락을 주고받게 되었습니다.
매니저라는 사람이 거래내역이 있어야 한다고 해서 돈을 구하느라 몇일 동안 몇 차례에 걸쳐서 입금을 했는데 그 이후로 카페도 폐쇄되고 연락이 안되는 상황입니다.","hwp_attachment","(21.4월 발생) 인터넷 카페에 의한 대출빙자형 남성_.hwp","https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200359&atchFileId=80227c19a180b72a9ecd1b6e553ed805&fileSn=1&bbsId=","https://www.fss.or.kr/fss/bbs/B0000059/view.do?nttId=35297&menuNo=200359&viewType=&sdate=&edate=&searchCnd=1&searchWrd=&pageIndex=2"
